
Column	My(ms)	WAH(ms)	My(MB)	WAH(MB)
loOrderDate	9.74	68.57	1802.44	1014.29
loDiscount	2.21	11.67	300.41	310.10
loQuantity	6.88	38.95	1001.36	1033.66
loSuppCity	5.01	19.27	500.68	516.83
custCity	7.83	21.67	500.68	501.72
partMfgr	12.26	194.00	2002.72	2006.12
Total	43.93	354.13	6108.28	5382.72
RTScanSieve	0.00	0.00	24695.7	3420
RTScanRays	0.00	0.00	2505.57	5396

Case	WAH	RTScan
S11	2.1961	0.9978
S12	0.8362	1.1918
S13	0.7833	1.7910
S21	0.7684	99999.9
S22	0.4193	99999.9
S23	0.2069	99999.9
S31	1.1286	99999.9
S32	1.0087	99999.9
S33	0.8631	99999.9
S34	0.4109	99999.9
S41	0.9179	99999.9
S42	1.5734	99999.9
S43	1.5035	99999.9

Case	Join
SSB11	7.1883
SSB12	2.1456
SSB13	2.0308
SSB21	3.9407
SSB22	3.4320
SSB23	3.2515
SSB31	5.5879
SSB32	4.1067
SSB33	3.2706
SSB34	2.2936
SSB41	6.9667
SSB42	5.4611
SSB43	3.8205

Case	PftNprg	OrsNprg	ChkNprg	PftStg1	PftStg2	PftStg3	OrsStg1	OrsStg2	OrsStg3	ChkStg1	ChkStg2	ChkStg3
SSB11	0.6487	0.9765	1.4964	0.2393	0.1270	0.5852	0.6042	0.1267	0.5851	0.6883	0.1682	1.1627
SSB12	0.1743	0.3898	0.4391	0.1886	0.0524	0.0705	0.4137	0.0526	0.0701	0.4756	0.1223	0.1265
SSB13	0.1231	0.2675	0.3037	0.1584	0.0505	0.0314	0.3197	0.0503	0.0310	0.3879	0.1216	0.0414
SSB21	0.7762	0.9954	1.1205	0.1687	0.0680	0.8132	0.4195	0.0686	0.8132	0.4949	0.1513	0.9829
SSB22	0.2587	0.4644	0.5034	0.1631	0.0548	0.2353	0.3969	0.0549	0.2356	0.4774	0.1312	0.2868
SSB23	0.1231	0.1597	0.2215	0.1398	0.0508	0.0463	0.1745	0.0507	0.0464	0.2586	0.1307	0.0819
SSB31	1.8269	2.1849	2.3588	0.2392	0.2248	1.8885	0.6061	0.2244	1.8883	0.6904	0.2698	1.9921
SSB32	0.3245	0.5806	0.6497	0.2031	0.0540	0.2450	0.4770	0.0538	0.2447	0.5592	0.1247	0.2663
SSB33	0.1928	0.3841	0.3775	0.1762	0.0505	0.0606	0.3832	0.0507	0.0602	0.4504	0.1227	0.0620
SSB34	0.1434	0.3443	0.3322	0.1759	0.0486	0.0218	0.3831	0.0487	0.0215	0.4532	0.1230	0.0243
SSB41	1.6522	1.9278	2.4479	0.2392	0.1060	1.7110	0.6060	0.1055	1.7105	0.6904	0.1774	2.1890
SSB42	0.8179	1.1944	1.3737	0.3053	0.0631	0.7639	0.7916	0.0657	0.7662	0.8821	0.1310	0.9630
SSB43	0.2082	0.5731	0.5908	0.2515	0.0524	0.0456	0.6074	0.0583	0.0458	0.6985	0.1288	0.0548

Case	Perfect	ManyOrs	Candchk
SSB11	0.6475	0.9830	1.4021
SSB12	0.1937	0.4087	0.4544
SSB13	0.1704	0.3021	0.3221
SSB21	0.7700	0.9331	1.0709
SSB22	0.2645	0.4741	0.4963
SSB23	0.1397	0.1766	0.2566
SSB31	1.8891	2.2134	2.2380
SSB32	0.3457	0.5840	0.6102
SSB33	0.1962	0.3861	0.3928
SSB34	0.1495	0.3466	0.3326
SSB41	1.6642	1.9208	2.3099
SSB42	0.8052	1.1927	1.3202
SSB43	0.2408	0.5743	0.5801

Seletiv	Method1	Method2
0.00195	0.2528	0.2567
0.00391	0.3228	0.3067
0.00781	0.4056	0.3740
0.01562	0.5467	0.4951
0.03125	0.7389	0.6625
0.06250	1.2188	1.0681
0.12500	1.2190	1.0679

Skew	BitW	Seletiv	Join	Perfect	ManyOrs	CandChk	PftStg1	PftStg2	PftStg3	OrsStg1	OrsStg2	OrsStg3	ChkStg1	ChkStg2	ChkStg3	WAH
1.04	16	0.00391	4.3432	0.2982	0.6571	0.7208	0.2377	0.0588	0.1864	0.6096	0.0592	0.1862	0.6905	0.1248	0.3723	0.0
1.04	16	0.00781	4.4803	0.3761	0.7418	0.9846	0.2376	0.0692	0.3151	0.6096	0.0695	0.3157	0.6905	0.1548	0.7215	0.0
1.04	16	0.01562	4.5792	0.4979	0.8734	1.3219	0.2385	0.1135	0.4310	0.6120	0.1137	0.4315	0.6907	0.1936	1.0652	0.0
1.04	16	0.03125	4.6043	0.6657	1.0504	1.5856	0.2383	0.1932	0.5823	0.6108	0.1930	0.5816	0.6905	0.2575	1.2999	0.0
1.04	16	0.06250	5.9178	1.0704	1.4587	2.1637	0.2375	0.4919	1.0595	0.6094	0.4914	1.0595	0.6906	0.5094	1.8578	0.0
1.04	16	0.12500	5.4856	1.0701	1.4590	2.2116	0.2375	0.4917	1.0595	0.6095	0.4916	1.0592	0.6909	0.5095	1.8608	0.0
1.04	32	0.00391	5.7466	0.2972	0.6560	0.7299	0.2390	0.0587	0.1852	0.6083	0.0593	0.1853	0.6905	0.1262	0.3943	1.3714
1.04	32	0.00781	6.1062	0.3730	0.7402	1.0746	0.2388	0.0698	0.3138	0.6083	0.0694	0.3139	0.6916	0.1572	0.8485	1.3630
1.04	32	0.01562	6.2558	0.4968	0.8736	1.4630	0.2398	0.1142	0.4338	0.6109	0.1135	0.4327	0.6906	0.1945	1.2788	1.3596
1.04	32	0.03125	6.3467	0.6623	1.0472	1.7120	0.2388	0.1920	0.5805	0.6092	0.1921	0.5793	0.6905	0.2564	1.5294	1.3517
1.04	32	0.06250	7.2320	1.0683	1.4550	2.3090	0.2386	0.4901	1.0582	0.6082	0.4900	1.0580	0.6904	0.5075	2.0812	1.3865
1.04	32	0.12500	7.2033	1.0862	1.4549	2.2890	0.2385	0.4900	1.0582	0.6083	0.4904	1.0579	0.6906	0.5077	2.0804	1.3519
1.08	16	0.00391	4.1949	0.2872	0.6443	0.6858	0.2391	0.0589	0.1593	0.6111	0.0595	0.1586	0.6919	0.1255	0.2954	0.0
1.08	16	0.00781	4.4091	0.3400	0.7050	0.8356	0.2375	0.0648	0.2687	0.6094	0.0653	0.2687	0.6905	0.1338	0.5370	0.0
1.08	16	0.01562	4.6347	0.4591	0.8310	1.1446	0.2377	0.0960	0.3953	0.6103	0.0961	0.3951	0.6906	0.1748	0.8975	0.0
1.08	16	0.03125	4.7887	0.6000	0.9815	1.7520	0.2387	0.1576	0.5131	0.6117	0.1576	0.5134	0.6905	0.3221	1.4582	0.0
1.08	16	0.06250	5.6544	0.9722	1.3625	2.3844	0.2374	0.4034	0.9421	0.6098	0.4033	0.9422	0.6907	0.6015	2.0392	0.0
1.08	16	0.12500	7.9500	1.3356	1.7237	2.8511	0.2375	0.7679	1.3822	0.6094	0.7678	1.3816	0.6905	0.9042	2.5981	0.0
1.08	32	0.00391	5.4756	0.2860	0.6427	0.6883	0.2391	0.0562	0.1542	0.6083	0.0570	0.1536	0.6903	0.1244	0.3030	1.3453
1.08	32	0.00781	5.7854	0.3382	0.7042	0.8659	0.2406	0.0647	0.2680	0.6082	0.0653	0.2681	0.6904	0.1358	0.5891	1.3621
1.08	32	0.01562	6.1491	0.4578	0.8304	1.2565	0.2388	0.0960	0.3945	0.6088	0.0960	0.3953	0.6904	0.1751	1.0571	1.3588
1.08	32	0.03125	6.3438	0.5982	0.9798	1.9145	0.2396	0.1576	0.5111	0.6114	0.1574	0.5107	0.6901	0.3214	1.7413	1.3523
1.08	32	0.06250	7.3592	0.9707	1.3589	2.5681	0.2384	0.4028	0.9405	0.6083	0.4027	0.9406	0.6905	0.6005	2.3695	1.3506
1.08	32	0.12500	7.6897	1.3362	1.7231	3.1496	0.2405	0.7700	1.3869	0.6102	0.7699	1.3856	0.6922	0.9059	2.9082	1.3583
