
Column	My(ms)	WAH(ms)	My(MB)	WAH(MB)
loOrderDate	9.90	70.51	1931.27	1131.72
loDiscount	2.36	11.74	321.88	332.26
loQuantity	7.18	39.57	1072.93	1105.92
loSuppCity	5.19	19.47	536.46	553.77
custCity	6.53	21.92	536.46	537.57
partMfgr	13.12	206.46	2145.85	2122.96
Total	44.28	369.67	6544.85	5784.20
RTScanSiev/Rays	39796.2	4560	1377.23	6004

Case	Join
SSB11	4.2901
SSB12	2.3423
SSB13	2.1584
SSB21	4.2164
SSB22	3.6499
SSB23	3.4166
SSB31	6.0035
SSB32	4.4047
SSB33	3.4997
SSB34	2.4130
SSB41	7.3573
SSB42	5.5480
SSB43	3.9312

Case	PftNprg	OrsNprg	ChkNprg	PftStg1	PftStg2	PftStg3	OrsStg1	OrsStg2	OrsStg3	ChkStg1	ChkStg2	ChkStg3
SSB11	0.7173	1.1000	1.6810	0.2561	0.1392	0.6988	0.6575	0.1402	0.6709	0.7440	0.1875	1.3284
SSB12	0.1930	0.4410	0.4928	0.2110	0.0658	0.0798	0.4725	0.0636	0.0750	0.5513	0.1306	0.1393
SSB13	0.1352	0.2909	0.3217	0.1711	0.0616	0.0272	0.3565	0.0646	0.0314	0.4528	0.1301	0.0368
SSB21	0.8143	0.9954	1.1673	0.1856	0.0712	0.8571	0.4544	0.0721	0.8562	0.5395	0.1587	1.0349
SSB22	0.2769	0.4937	0.5340	0.1775	0.0635	0.2482	0.4304	0.0646	0.2484	0.5197	0.1328	0.3030
SSB23	0.1341	0.1761	0.2398	0.1513	0.0627	0.0446	0.1910	0.0628	0.0448	0.2977	0.1312	0.0814
SSB31	2.0341	2.3760	2.5518	0.2563	0.2558	2.0781	0.6559	0.2564	2.0780	0.7424	0.3079	2.1932
SSB32	0.3295	0.5981	0.6386	0.2196	0.0634	0.2723	0.5151	0.0633	0.2724	0.6073	0.1305	0.2937
SSB33	0.1846	0.3872	0.4078	0.1880	0.0615	0.0622	0.4148	0.0613	0.0624	0.4959	0.1297	0.0660
SSB34	0.1371	0.3522	0.3544	0.1879	0.0618	0.0181	0.4145	0.0608	0.0183	0.4976	0.1295	0.0210
SSB41	1.7513	2.0409	2.5747	0.2563	0.1123	1.8063	0.6556	0.1128	1.8053	0.7427	0.1895	2.3133
SSB42	0.7674	1.1854	1.3361	0.3285	0.0656	0.6962	0.8511	0.0659	0.6962	0.9394	0.1336	0.8776
SSB43	0.2206	0.5969	0.6228	0.2689	0.0629	0.0366	0.6525	0.0616	0.0352	0.7543	0.1299	0.0423

Case	Perfect	ManyOrs	Candchk
SSB11	0.7150	1.1039	1.6079
SSB12	0.2118	0.4584	0.5040
SSB13	0.1639	0.3303	0.3527
SSB21	0.8139	0.9886	1.1145
SSB22	0.2826	0.5047	0.5277
SSB23	0.1525	0.1945	0.2758
SSB31	2.0303	2.3702	2.4174
SSB32	0.3451	0.6166	0.6487
SSB33	0.2133	0.4165	0.4256
SSB34	0.1593	0.3689	0.3549
SSB41	1.7375	2.0301	2.4199
SSB42	0.7689	1.1827	1.2989
SSB43	0.2467	0.6106	0.6136

Seletiv	Method1	Method2
0.01000	0.2258	0.2314
0.02000	0.2661	0.2697
0.03000	0.3012	0.2901
0.04000	0.3402	0.3161
0.05000	0.3767	0.3447
0.06000	0.4277	0.3981
0.07000	0.4681	0.4461
0.08000	0.5114	0.4792

Skew	BitW	Seletiv	Join	Perfect	ManyOrs	CandChk	PftStg1	PftStg2	PftStg3	OrsStg1	OrsStg2	OrsStg3	ChkStg1	ChkStg2	ChkStg3	WAH
1.04	16	0.00781	3.6137	0.2322	0.6162	0.6244	0.2559	0.0618	0.0235	0.6594	0.0614	0.0235	0.7463	0.1332	0.0324	0.0
1.04	16	0.01562	4.1322	0.2521	0.6294	0.6736	0.2575	0.0631	0.0476	0.6615	0.0632	0.0476	0.7442	0.1298	0.0883	0.0
1.04	16	0.03125	4.5583	0.2944	0.6733	0.7415	0.2557	0.0633	0.1365	0.6603	0.0637	0.1363	0.7439	0.1311	0.2643	0.0
1.04	16	0.06250	4.8628	0.4124	0.8015	1.1328	0.2556	0.0770	0.3446	0.6605	0.0763	0.3449	0.7443	0.1737	0.8284	0.0
1.04	16	0.12500	5.0158	0.7085	1.1142	1.7463	0.2556	0.2040	0.6141	0.6606	0.2042	0.6133	0.7440	0.2739	1.3886	0.0
1.04	32	0.00781	4.7326	0.2282	0.6160	0.6246	0.2563	0.0614	0.0223	0.6586	0.0613	0.0223	0.7467	0.1324	0.0313	0.7302
1.04	32	0.01562	5.2079	0.2501	0.6285	0.6727	0.2620	0.0664	0.0515	0.6611	0.0629	0.0473	0.7445	0.1301	0.0880	1.1575
1.04	32	0.03125	5.8485	0.2928	0.6735	0.7488	0.2564	0.0633	0.1348	0.6599	0.0636	0.1349	0.7440	0.1315	0.2718	1.4209
1.04	32	0.06250	6.5065	0.4105	0.8016	1.2709	0.2561	0.0764	0.3439	0.6596	0.0761	0.3437	0.7440	0.1736	0.9892	1.4575
1.04	32	0.12500	6.7829	0.7065	1.1157	1.9319	0.2562	0.2031	0.6139	0.6598	0.2034	0.6136	0.7440	0.2735	1.6264	1.4521
1.08	16	0.00781	3.3793	0.2270	0.6145	0.6225	0.2558	0.0615	0.0218	0.6580	0.0615	0.0222	0.7457	0.1331	0.0288	0.0
1.08	16	0.01562	3.8738	0.2406	0.6226	0.6622	0.2574	0.0633	0.0402	0.6616	0.0634	0.0403	0.7451	0.1295	0.0718	0.0
1.08	16	0.03125	4.3393	0.2873	0.6650	0.7193	0.2559	0.0635	0.1130	0.6607	0.0635	0.1129	0.7441	0.1307	0.2107	0.0
1.08	16	0.06250	4.7868	0.3721	0.7608	0.9341	0.2559	0.0696	0.2959	0.6608	0.0700	0.2954	0.7442	0.1474	0.6020	0.0
1.08	16	0.12500	5.1984	0.6748	1.0793	1.9955	0.2561	0.1864	0.5799	0.6608	0.1866	0.5789	0.7444	0.3706	1.6198	0.0
1.08	32	0.00781	4.5959	0.2268	0.6142	0.6228	0.2562	0.0615	0.0209	0.6570	0.0614	0.0208	0.7455	0.1338	0.0280	0.6580
1.08	32	0.01562	4.9701	0.2398	0.6225	0.6617	0.2578	0.0628	0.0401	0.6612	0.0628	0.0401	0.7454	0.1296	0.0707	1.0738
1.08	32	0.03125	5.5389	0.2867	0.6649	0.7245	0.2569	0.0634	0.1122	0.6601	0.0635	0.1122	0.7443	0.1308	0.2153	1.3938
1.08	32	0.06250	6.2298	0.3704	0.7602	0.9683	0.2567	0.0697	0.2947	0.6599	0.0698	0.2949	0.7444	0.1520	0.6651	1.4786
1.08	32	0.12500	6.8643	0.6736	1.0799	2.2471	0.2566	0.1862	0.5804	0.6601	0.1863	0.5806	0.7446	0.3702	1.9471	1.4534
1.12	16	0.00781	3.2490	0.2267	0.6144	0.6216	0.2557	0.0615	0.0208	0.6579	0.0614	0.0207	0.7455	0.1333	0.0276	0.0
1.12	16	0.01562	3.7084	0.2406	0.6228	0.6609	0.2594	0.0655	0.0447	0.6615	0.0631	0.0389	0.7452	0.1292	0.0697	0.0
